"slug","name","category","sku","stock","price_RWF"
"movit-sheen-hair-spray-olive-argan-oil","Movit Sheen Hair Spray Olive & Argan Oil","haircare","FCS-E7DCB3","300",""
"the-original-sunny-isle-jamaican-black-castor-oil","The Original Sunny Isle Jamaican Black Castor Oil","haircare","FCS-59C791","300",""
"more-up-aloe-vera-vitamin-e-2-in-1-pure-petroleum-jelly","More Up Aloe Vera & Vitamin E 2-in-1 Pure Petroleum Jelly","petroleum-jelly","FCS-5F7E35","300",""
"vaseline-blue-seal-aloe-vera-perfumed-petroleum-jelly-240ml","Vaseline Blue Seal Aloe Vera Perfumed Petroleum Jelly 240ml","petroleum-jelly","FCS-0C1239","300",""
"vaseline-blue-seal-cocoa-butter-perfumed-petroleum-jelly","Vaseline Blue Seal Cocoa Butter Perfumed Petroleum Jelly","petroleum-jelly","FCS-45C7BC","300",""
"vaseline-blue-seal-men-cooling-perfumed-petroleum-jelly-240ml","Vaseline Blue Seal Men Cooling Perfumed Petroleum Jelly 240ml","petroleum-jelly","FCS-472305","300",""
"vaseline-blue-seal-original-100-pure-petroleum-jelly-240ml","Vaseline Blue Seal Original 100% Pure Petroleum Jelly 240ml","petroleum-jelly","FCS-546E4D","300",""
"exfoliating-gold-face-body-scrub-with-natural-exfoliating-fruit-shells-gold-pearl","Exfoliating Gold Face & Body Scrub (With Natural Exfoliating Fruit Shells & Gold Pearl)","skincare","FCS-02BE2B","300",""
"silky-cool-cucumber-face-and-body-scrub-cream","Silky Cool Cucumber Face and Body Scrub Cream","skincare","FCS-011B85","300",""
"silky-cool-milk-face-and-body-scrub","Silky Cool Milk Face and Body Scrub","skincare","FCS-661231","300",""
"asantee-papaya-honey-soap-125g","Asantee Papaya & Honey Soap 125g","soap","FCS-191AB8","300",""
"asantee-tamarind-goat-milk-herbal-soap","ASANTEE Tamarind & Goat Milk Herbal Soap (สบู่สมุนไพรมะขามผสมนมแพะ)","soap","FCS-6E8935","300",""
"carambola-black-spots-herbal-soap-with-honey","Carambola Black Spots Herbal Soap with Honey","soap","FCS-2DA2CC","300",""
"dalan-citron-frais-classic-multipurpose-soap","Dalan Citron Frais Classic Multipurpose Soap","soap","FCS-656D15","300",""
"dalan-glycerin-soap-organic-lime","Dalan Glycerin Soap Organic Lime","soap","FCS-9B7C30","300",""
"dalan-glycerin-soap-organic-olive-oil","Dalan Glycerin Soap Organic Olive Oil","soap","FCS-B5A5AC","300",""
"dalan-glycerin-soap-with-organic-argan-oil","Dalan Glycerin Soap with Organic Argan Oil","soap","FCS-18904A","300",""
"dettol-juniors-glycerine-soap","Dettol Juniors Glycerine Soap","soap","FCS-304E40","300",""
"dettol-original-antibacterial-soap-100g","Dettol Original Antibacterial Soap 100g","soap","FCS-2A73AA","300",""
"dove-original-beauty-cream-bar-100g","Dove Original Beauty Cream Bar 100g","soap","FCS-0AB055","300",""
"duru-fresh-sensations-beauty-soap-floral-infusion-pack-of-4","Duru Fresh Sensations Beauty Soap – Floral Infusion (Pack of 4)","soap","FCS-B65FC8","300",""
"duru-fresh-sensations-beauty-soap-ocean-breeze-pack-of-4","Duru Fresh Sensations Beauty Soap – Ocean Breeze (Pack of 4)","soap","FCS-9AEDB0","300",""
"duru-natural-olive-soap-with-olive-oil-extract","Duru Natural Olive Soap with Olive Oil Extract","soap","FCS-1139D6","300",""
"duru-perfume-beauties-beauty-soap-orchid-charm-pack-of-4","Duru Perfume Beauties Beauty Soap – Orchid Charm (Pack of 4)","soap","FCS-AAC8D1","300",""
"eva-bathing-soap-refresh-coconut-lavender","EVA Bathing Soap Refresh (Coconut & Lavender)","soap","FCS-21AAFA","300",""
"extract-whitening-herbal-soap-papaya-calaman","Extract Whitening Herbal Soap Papaya Calaman","soap","FCS-2641FD","300",""
"geisha-caring-coconut-honey-soap","Geisha Caring Coconut & Honey Soap","soap","FCS-165BC6","300",""
"geisha-soothing-aloe-vera-honey-soap-strong-long-lasting-daily-bathing-bar","Geisha Soothing Aloe Vera & Honey Soap (Strong & Long Lasting Daily Bathing Bar)","soap","FCS-A33C05","300",""
"imperial-leather-timeless-classic-bathing-bar-soap","Imperial Leather Timeless Classic Bathing Bar Soap","soap","FCS-30477D","300",""
"kojic-white-x2-double-whitening-suite-soap-by-nano-d-ne","KOJIC WHITE X2 Double Whitening Suite Soap (By Nano D-ne)","soap","FCS-BB3B66","300",""
"kojie-san-classic-skin-lightening-soap","Kojie San Classic Skin Lightening Soap","soap","FCS-4B508D","300",""
"lab-white-atom-whitening-egg-yolk-soap","Lab White Atom Whitening Egg Yolk Soap","soap","FCS-56F90F","300",""
"mpya-rungu-medi-anti-bacterial-soap","MPYA Rungu-Medi Anti-Bacterial Soap","soap","FCS-05DB91","300",""
"nina-family-soap-bathing-bar-rose-peach","NINA Family Soap Bathing Bar (Rose & Peach)","soap","FCS-DC4BD4","300",""
"original-pure-egyptian-magic-whitening-gold-soap-with-egg-yolk-l-glutathione","Original Pure Egyptian Magic Whitening Gold Soap (With Egg Yolk & L-Glutathione)","soap","FCS-5E2CD5","300",""
"papaya-carrot-gluta-soap-scrub-beads","Papaya Carrot Gluta Soap Scrub Beads","soap","FCS-169EBE","300",""
"protex-gentle-anti-germ-bar-soap","Protex Gentle Anti-Germ Bar Soap","soap","FCS-ABD506","300",""
"pyary-ayurvedic-turmeric-soap","Pyary Ayurvedic Turmeric Soap","soap","FCS-5E3382","300",""
"touch-me-please-whitening-soap-for-oily-skin-with-natural-extracts","Touch Me! PLEASE Whitening Soap for Oily Skin (With Natural Extracts)","soap","FCS-C8D70A","300",""
"turmeric-super-whitening-soap-body-repair-anti-dark-spots-anti-aging","Turmeric Super Whitening Soap (Body Repair, Anti Dark Spots & Anti-aging)","soap","FCS-2DEBCC","300",""
"veet-gold-vitamin-c-body-corrector-soap-7-days-whitening-and-glowing-soap-spf15","Veet Gold Vitamin C Body Corrector Soap (7 Days Whitening and Glowing Soap SPF15)","soap","FCS-45AD1C","300",""
"victoria-super-colorful-vsc-carrot-7-days-extra-whitening-soap","Victoria Super Colorful (VSC) Carrot 7 Days Extra Whitening Soap","soap","FCS-341EDE","300",""
"drodaven-whitening-papaya-milk-body-lotion","DRODAVEN Whitening Papaya + Milk Body Lotion","whitening","FCS-D1146F","300",""
"la-tchadienne-whitening-lotion-super-white-face-body-lotion","LA TCHADIENNE Whitening Lotion Super White Face & Body Lotion","whitening","FCS-BDA17B","300",""
"piment-doux-5-days-extra-whitening-milk-lait-traitant","Piment Doux 5 Days Extra Whitening Milk (Lait Traitant)","whitening","FCS-08EF2C","300",""
"purec-egyptian-gold-14days-face-body-lotion","Purec Egyptian Gold 14Days Face & Body Lotion","whitening","FCS-9F13C5","300",""
"rdl-papaya-extract-whitening-hand-body-lotion-vitamin-e","RDL Papaya Extract Whitening Hand & Body Lotion + Vitamin E","whitening","FCS-92C530","300",""
"roushun-turmeric-with-vitamin-c-lighten-body-lotion","Roushun Turmeric with Vitamin C Lighten Body Lotion","whitening","FCS-B4EAC2","300",""
"white-express-lait-claircissant-complexe-duo-clat","White Express Lait Éclaircissant – Complexe Duo-Éclat","whitening","FCS-A922E0","300",""
"white-express-lait-claircissant-extra-whitening-lotion-500ml","White Express Lait Éclaircissant – Extra Whitening Lotion 500ml","whitening","FCS-88AF67","300",""
