"slug","name","nameRw","category","brand","price_RWF","stock","sku","shortDescription","primaryImage"
"carambola-black-spots-herbal-soap-with-honey","Carambola Black Spots Herbal Soap with Honey","","soap","","0","0","FCS-2DA2CC","Carambola Black Spots Herbal Soap with Honey — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785257384/freedomcosmeticshop/products/juyah8hwgekq9za7r8ev.jpg"
"change-de-canal-fragrance-mist-brume-parfum-e","Change De Canal Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-A3624C","Change De Canal Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785599011/freedomcosmeticshop/products/t0gyf8kxgfh2ufp1wjxu.jpg"
"coconut-fantasy-fine-fragrance-mist","Coconut Fantasy Fine Fragrance Mist","","fragrance","","0","0","FCS-7B4597","Coconut Fantasy Fine Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785578104/freedomcosmeticshop/products/fyart8pdmz4dv92qxjbs.jpg"
"dabur-herbolene-aloe-jelly","Dabur Herbolene Aloe Jelly 225ml","","petroleum-jelly","","3500","0","FCS-B88CE0","Dabur Herbolene Aloe Jelly 225ml — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785763854/freedomcosmeticshop/products/zloae5pmydk4t1x5dirw.jpg"
"dabur-herbolene-aloe-jelly-1","Dabur Herbolene Aloe Jelly 425ml","","petroleum-jelly","","5800","0","FCS-F9DCB2","Dabur Herbolene Aloe Jelly 425ml — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785763854/freedomcosmeticshop/products/zloae5pmydk4t1x5dirw.jpg"
"dalan-citron-frais-classic-multipurpose-soap","Dalan Citron Frais Classic Multipurpose Soap","","soap","","0","0","FCS-656D15","Dalan Citron Frais Classic Multipurpose Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785344294/freedomcosmeticshop/products/rb86tdqypx3ft3j4fn7v.jpg"
"dalan-glycerin-soap-organic-lime","Dalan Glycerin Soap Organic Lime","","soap","","0","0","FCS-9B7C30","Dalan Glycerin Soap Organic Lime — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785333373/freedomcosmeticshop/products/mi6noorvhvzox50oujto.jpg"
"dalan-glycerin-soap-organic-olive-oil","Dalan Glycerin Soap Organic Olive Oil","","soap","","0","0","FCS-B5A5AC","Dalan Glycerin Soap Organic Olive Oil — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785336312/freedomcosmeticshop/products/py77ss0fgelmuk61kvae.jpg"
"dalan-glycerin-soap-with-organic-argan-oil","Dalan Glycerin Soap with Organic Argan Oil","","soap","","0","0","FCS-18904A","Dalan Glycerin Soap with Organic Argan Oil — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785260898/freedomcosmeticshop/products/ishxav7pcgojefj2szff.jpg"
"dax-pomade-now-with-lanolin","DAX Pomade Now With Lanolin","","haircare","","0","0","FCS-46F915","DAX Pomade Now With Lanolin — haircare that helps keep hair looking neat and healthy.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785930066/freedomcosmeticshop/products/zp4zqoagt0d7yqhl2cbc.jpg"
