"slug","name","nameRw","category","brand","price_RWF","stock","sku","shortDescription","primaryImage"
"pure-egyptian-magic-whitening-serum-gold-14-days-face-body-serum","Pure Egyptian Magic Whitening Serum Gold 14 Days Face & Body Serum","","whitening","","7000","100","FCS-DC6ED9","Pure Egyptian Magic Whitening Serum Gold 14 Days Face & Body Serum — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1786446710/freedomcosmeticshop/products/lua9yui5vjib5mfi5vyf.jpg"
"purec-egyptian-gold-14days-face-body-lotion","Purec Egyptian Gold 14Days Face & Body Lotion","","whitening","","0","0","FCS-9F13C5","Purec Egyptian Gold 14Days Face & Body Lotion — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785769032/freedomcosmeticshop/products/pwt9y1qajj8t2bq9gii7.jpg"
"pyary-ayurvedic-turmeric-soap","Pyary Ayurvedic Turmeric Soap","","soap","","0","0","FCS-5E3382","Pyary Ayurvedic Turmeric Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/fetch/f_auto,q_auto/https://fnf.co.ke/wp-content/uploads/Pyary-Ayurvedic-Turmeric-Soap-1.jpg"
"rdl-papaya-extract-whitening-hand-body-lotion-vitamin-e","RDL Papaya Extract Whitening Hand & Body Lotion + Vitamin E","","whitening","","0","0","FCS-92C530","RDL Papaya Extract Whitening Hand & Body Lotion + Vitamin E — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785772074/freedomcosmeticshop/products/kfv0a51tij72yjolyknh.jpg"
"rinju-beaut-r-elle-body-hand-cream","Rinju Beauté Réelle Body & Hand Cream","","body-care","","0","0","FCS-31676E","Rinju Beauté Réelle Body & Hand Cream — body care that leaves skin soft, smooth and comfortable.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785177428/freedomcosmeticshop/products/krdbzxftrbwkkeklvjkk.jpg"
"roushun-turmeric-with-vitamin-c-lighten-body-lotion","Roushun Turmeric with Vitamin C Lighten Body Lotion","","whitening","","0","0","FCS-B4EAC2","Roushun Turmeric with Vitamin C Lighten Body Lotion — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/fetch/f_auto,q_auto/https://bcute-kw.com/wp-content/uploads/2024/01/114.jpg"
"scanoal-a-paris-eau-de-parfum-spray-set-2-pcs","SCANOAL A PARIS Eau de Parfum Spray Set (2 Pcs)","","fragrance","","0","0","FCS-1002E9","SCANOAL A PARIS Eau de Parfum Spray Set (2 Pcs) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785572005/freedomcosmeticshop/products/rdrdaalgmv1dcthpeoqn.jpg"
"silky-cool-cucumber-face-and-body-scrub-cream","Silky Cool Cucumber Face and Body Scrub Cream","","skincare","","0","0","FCS-011B85","Silky Cool Cucumber Face and Body Scrub Cream — skincare for a clean, soft and cared-for complexion.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785933355/freedomcosmeticshop/products/pcsjhdxi7nzann9qsopq.jpg"
"silky-cool-milk-face-and-body-scrub","Silky Cool Milk Face and Body Scrub","","skincare","","0","0","FCS-661231","Silky Cool Milk Face and Body Scrub — skincare for a clean, soft and cared-for complexion.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785931275/freedomcosmeticshop/products/zllnynqtwbwuftsoizqk.jpg"
"soap","Dettol Fresh Antibacterial Soap (Pack of 4)","","soap","freedom-glow","2300","96","DETTOL-FRESH-4PACK","Antibacterial soap pack of 4 bars. Protects against 99.9% of germs.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1784821673/freedomcosmeticshop/products/hzdvbgszvvllxn61zuhj.jpg"
"super-love-eau-de-parfum-2-piece-gift-set","Super Love Eau De Parfum 2-Piece Gift Set","","fragrance","","0","0","FCS-2E7A51","Super Love Eau De Parfum 2-Piece Gift Set — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785506299/freedomcosmeticshop/products/qdngvdg5pelyz27l7cva.jpg"
"super-love-red-eau-de-parfum-2pcs-gift-set","SUPER LOVE' RED Eau de Parfum 2PCS Gift Set","","fragrance","","0","0","FCS-97CCA1","SUPER LOVE' RED Eau de Parfum 2PCS Gift Set — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785253875/freedomcosmeticshop/products/ptt2zb4lf7obprxbqocp.jpg"
"sweet-rose-eau-de-parfum-spray-for-women","Sweet Rose Eau de Parfum Spray for Women","","fragrance","","0","0","FCS-B9FF14","Sweet Rose Eau de Parfum Spray for Women — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785567501/freedomcosmeticshop/products/ejubdbh5y00k9rii9ec1.jpg"
"the-original-sunny-isle-jamaican-black-castor-oil","The Original Sunny Isle Jamaican Black Castor Oil","","haircare","","0","0","FCS-59C791","The Original Sunny Isle Jamaican Black Castor Oil — haircare that helps keep hair looking neat and healthy.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1786737895/freedomcosmeticshop/products/brnx4tvukuej2r1kdhf3.jpg"
"touch-me-please-whitening-soap-for-oily-skin-with-natural-extracts","Touch Me! PLEASE Whitening Soap for Oily Skin (With Natural Extracts)","","soap","","0","0","FCS-C8D70A","Touch Me! PLEASE Whitening Soap for Oily Skin (With Natural Extracts) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785423798/freedomcosmeticshop/products/ql3xedro1ahbhsgmbgxz.jpg"
"turmeric-super-whitening-soap-body-repair-anti-dark-spots-anti-aging","Turmeric Super Whitening Soap (Body Repair, Anti Dark Spots & Anti-aging)","","soap","","0","0","FCS-2DEBCC","Turmeric Super Whitening Soap (Body Repair, Anti Dark Spots & Anti-aging) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785351372/freedomcosmeticshop/products/uvnimtjggc0qwfwsqjjn.jpg"
"vaseline-blue-seal-aloe-vera-perfumed-petroleum-jelly-240ml","Vaseline Blue Seal Aloe Vera Perfumed Petroleum Jelly 240ml","","petroleum-jelly","","0","0","FCS-0C1239","Vaseline Blue Seal Aloe Vera Perfumed Petroleum Jelly 240ml — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785743842/freedomcosmeticshop/products/jwmldyeua5frcd5smmlh.jpg"
"vaseline-blue-seal-baby-perfumed-petroleum-jelly","Vaseline Blue Seal Baby Perfumed Petroleum Jelly","","baby-kids","","0","0","FCS-C85D65","Vaseline Blue Seal Baby Perfumed Petroleum Jelly — gentle care for delicate baby and child skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785744458/freedomcosmeticshop/products/o6siclqupvyrrqste10z.jpg"
"vaseline-blue-seal-cocoa-butter-perfumed-petroleum-jelly","Vaseline Blue Seal Cocoa Butter Perfumed Petroleum Jelly","","petroleum-jelly","","0","0","FCS-45C7BC","Vaseline Blue Seal Cocoa Butter Perfumed Petroleum Jelly — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785746983/freedomcosmeticshop/products/yp0xwblxlxlzdxo7c6je.jpg"
"vaseline-blue-seal-men-cooling-perfumed-petroleum-jelly-240ml","Vaseline Blue Seal Men Cooling Perfumed Petroleum Jelly 240ml","","petroleum-jelly","","0","0","FCS-472305","Vaseline Blue Seal Men Cooling Perfumed Petroleum Jelly 240ml — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785744236/freedomcosmeticshop/products/fqnuuzmyhyflpg05uequ.jpg"
"vaseline-blue-seal-original-100-pure-petroleum-jelly-240ml","Vaseline Blue Seal Original 100% Pure Petroleum Jelly 240ml","","petroleum-jelly","","0","0","FCS-546E4D","Vaseline Blue Seal Original 100% Pure Petroleum Jelly 240ml — a petroleum jelly that moisturizes and helps protect dry skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785743501/freedomcosmeticshop/products/ypdn9peqizrjvy5lpaom.jpg"
"vaseline-intensive-care-cocoa-radiant-vitalizing-body-oil","Vaseline Intensive Care Cocoa Radiant Vitalizing Body Oil","","body-oil","","0","0","FCS-51D6FF","Vaseline Intensive Care Cocoa Radiant Vitalizing Body Oil — a body oil that nourishes and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785769918/freedomcosmeticshop/products/q4ryrfcks8gfnuepeysc.jpg"
"veet-gold-turmeric-super-whitening-oil","Veet Gold Turmeric Super Whitening Oil 500ml","","body-oil","","10000","50","VG-TUR-OIL-500ML","Veet Gold Turmeric Super Whitening Oil 500ml — a body oil that nourishes and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785253875/freedomcosmeticshop/products/ptt2zb4lf7obprxbqocp.jpg"
"veet-gold-turmeric-super-whitening-oil-1","Veet Gold Turmeric Super Whitening Oil 300ml","","body-oil","","8000","50","VG-TUR-OIL-300ML","Veet Gold Turmeric Super Whitening Oil 300ml — a body oil that nourishes and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785351385/freedomcosmeticshop/products/cckaytiz9iah7tzt9r2d.jpg"
"veet-gold-turmeric-super-whitening-oil-2","Veet Gold Turmeric Super Whitening Oil 200ml","","body-oil","","7000","50","VG-TUR-OIL-200ML","Veet Gold Turmeric Super Whitening Oil 200ml — a body oil that nourishes and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785950874/freedomcosmeticshop/products/ljf4fi2bzfonfnslqdbv.jpg"
"veet-gold-vitamin-c-body-corrector-soap-7-days-whitening-and-glowing-soap-spf15","Veet Gold Vitamin C Body Corrector Soap (7 Days Whitening and Glowing Soap SPF15)","","soap","","0","0","FCS-45AD1C","Veet Gold Vitamin C Body Corrector Soap (7 Days Whitening and Glowing Soap SPF15) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785418158/freedomcosmeticshop/products/wd1regvqfymw8gzulket.jpg"
"verlorna-la-vaid-east-bellah-fragrance-mist-250ml","VERLORNA La Vaid East Bellah Fragrance Mist – 250ml","","fragrance","","6500","100","FCS-E73CE9","VERLORNA La Vaid East Bellah Fragrance Mist – 250ml — a 250 ml fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1786606794/freedomcosmeticshop/products/pyltdl4fmy1cbkxvnjhb.jpg"
"verlorna-my-love-fragrance-mist-250ml","VERLORNA MY LOVE Fragrance Mist – 250ml","","fragrance","","6500","100","FCS-EDE155","VERLORNA MY LOVE Fragrance Mist – 250ml — a 250 ml fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1786609433/freedomcosmeticshop/products/sdaa6qnnfykwpoq4lmuy.jpg"
"verlorna-suawace-fragrance-mist-250ml","VERLORNA SUAWACE Fragrance Mist – 250ml","","fragrance","","6500","100","FCS-91D8D0","VERLORNA SUAWACE Fragrance Mist – 250ml — a 250 ml fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1786612568/freedomcosmeticshop/products/tenqfiqyshrw2z4jnc4v.jpg"
"verlorna-world-barakkat-rouge-540-body-mist","Verlorna World Barakkat Rouge 540 Body Mist","","fragrance","","0","0","FCS-16E1CE","Verlorna World Barakkat Rouge 540 Body Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/fetch/f_auto,q_auto/https://www.anabis.com/images/products/Fragrance-World-Barakkat-Rouge-540-Body-Mist-250ml.png"
"verlorna-world-fantsly","Verlorna World Fantsly","","fragrance","","0","0","FCS-A23DD9","Verlorna World Fantsly — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785587162/freedomcosmeticshop/products/eyxbuptycx34u36ziafw.jpg"
"verlorna-world-for-away-body-mist","Verlorna World For Away Body Mist","","fragrance","","0","0","FCS-2410B8","Verlorna World For Away Body Mist — fragrance that leaves a pleasant, long-lasting scent.",""
"verlorna-world-ideal-fragrance-mist","Verlorna World Ideal Fragrance Mist","","fragrance","","0","0","FCS-DE5FB1","Verlorna World Ideal Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785590016/freedomcosmeticshop/products/jcugu99bdidzat7nzfda.jpg"
"victoria-super-colorful-vsc-carrot-7-days-extra-whitening-soap","Victoria Super Colorful (VSC) Carrot 7 Days Extra Whitening Soap","","soap","","0","0","FCS-341EDE","Victoria Super Colorful (VSC) Carrot 7 Days Extra Whitening Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785416037/freedomcosmeticshop/products/rewc1luelzne0boapvll.jpg"
"white-express-lait-claircissant-complexe-duo-clat","White Express Lait Éclaircissant – Complexe Duo-Éclat","","whitening","","0","0","FCS-A922E0","White Express Lait Éclaircissant – Complexe Duo-Éclat — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785777737/freedomcosmeticshop/products/jmlmcphaei4ddsld4qyj.jpg"
"white-express-lait-claircissant-extra-whitening-lotion-500ml","White Express Lait Éclaircissant – Extra Whitening Lotion 500ml","","whitening","","0","0","FCS-88AF67","White Express Lait Éclaircissant – Extra Whitening Lotion 500ml — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785778463/freedomcosmeticshop/products/fmq9pmjvodwuui4eq5sd.jpg"
"yara-pink-fragrance-mist-brume-parfum-e","Yara Pink Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-6032E8","Yara Pink Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785428933/freedomcosmeticshop/products/arphdcgulzwdd5kjhabn.jpg"
"zwitsal-baby-body-lotion-with-avocado-oil-400ml","Zwitsal Baby Body Lotion with Avocado Oil – 400ml","","baby-kids","","0","0","FCS-414D9E","Zwitsal Baby Body Lotion with Avocado Oil – 400ml — gentle care for delicate baby and child skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1784977077/freedomcosmeticshop/products/dyt0k3wkdsyijkwgbvog.jpg"
